Attack Type,Samples,Decision Tree (%),Random Forest (%),KNN (%),Linear SVM (%),Logistic Regression (%),Mean Detection (%),Best Model
apache2,737,66.62,61.47,54.82,99.19,99.05,76.23,Linear SVM (%)
httptunnel,133,12.78,60.9,14.29,1.5,1.5,18.194,Random Forest (%)
mailbomb,293,0.68,0.0,0.0,0.0,0.0,0.136,Decision Tree (%)
mscan,996,52.51,57.83,77.21,34.24,49.2,54.198,KNN (%)
named,17,17.65,29.41,35.29,5.88,5.88,18.821999999999996,KNN (%)
processtable,685,2.63,30.22,1.31,0.44,0.29,6.978,Random Forest (%)
ps,15,13.33,53.33,20.0,0.0,0.0,17.332,Random Forest (%)
saint,319,97.18,99.37,97.49,95.3,94.98,96.864,Random Forest (%)
sendmail,14,0.0,0.0,7.14,7.14,7.14,4.284,KNN (%)
snmpgetattack,178,0.0,0.0,0.56,0.56,0.56,0.336,KNN (%)
snmpguess,331,0.0,0.0,0.3,0.6,0.6,0.3,Linear SVM (%)
sqlattack,2,0.0,100.0,100.0,0.0,0.0,40.0,Random Forest (%)
udpstorm,2,100.0,100.0,50.0,0.0,0.0,50.0,Decision Tree (%)
worm,2,0.0,0.0,0.0,0.0,0.0,0.0,Decision Tree (%)
xlock,9,11.11,0.0,0.0,0.0,0.0,2.222,Decision Tree (%)
xsnoop,4,25.0,25.0,0.0,0.0,0.0,10.0,Decision Tree (%)
xterm,13,30.77,15.38,15.38,15.38,15.38,18.458,Decision Tree (%)
