Attack Type,Samples,Decision Tree (%),Random Forest (%),KNN (%),Linear SVM (%),Logistic Regression (%)
apache2,737,66.62,61.47,54.82,99.19,99.05
httptunnel,133,12.78,60.9,14.29,1.5,1.5
mailbomb,293,0.68,0.0,0.0,0.0,0.0
mscan,996,52.51,57.83,77.21,34.24,49.2
named,17,17.65,29.41,35.29,5.88,5.88
processtable,685,2.63,30.22,1.31,0.44,0.29
ps,15,13.33,53.33,20.0,0.0,0.0
saint,319,97.18,99.37,97.49,95.3,94.98
sendmail,14,0.0,0.0,7.14,7.14,7.14
snmpgetattack,178,0.0,0.0,0.56,0.56,0.56
snmpguess,331,0.0,0.0,0.3,0.6,0.6
sqlattack,2,0.0,100.0,100.0,0.0,0.0
udpstorm,2,100.0,100.0,50.0,0.0,0.0
worm,2,0.0,0.0,0.0,0.0,0.0
xlock,9,11.11,0.0,0.0,0.0,0.0
xsnoop,4,25.0,25.0,0.0,0.0,0.0
xterm,13,30.77,15.38,15.38,15.38,15.38
